panel	gene	ref_id	source	assembly_accession	nuccore_accession	protein_accession	locus_tag	organism	product	location	evidence	length_nt	length_aa	multiple_of_3
citrobacter	acrA	acrA|WP_003835922.1|NZ_LR890181.1|JMV71_RS17795	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003835922.1	JMV71_RS17795	Citrobacter freundii MSB1_1H	multidrug efflux RND transporter periplasmic adaptor subunit AcrA	3650580..3651773	refseq_gene_name	1194	397	True
citrobacter	acrA	acrA|WP_204526591.1|NZ_CP101080.1|NMD07_RS18445	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_204526591.1	NMD07_RS18445	Citrobacter cronae	multidrug efflux RND transporter periplasmic adaptor subunit AcrA	3821758..3822951	species representative; ortholog by 98.0% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	1194	397	True
citrobacter	acrA	acrA|WP_047458420.1|NZ_CP022073.1|CEP66_RS01295	ncbi_refseq_auto	GCF_002208985.1	NZ_CP022073.1	WP_047458420.1	CEP66_RS01295	Citrobacter koseri	multidrug efflux RND transporter periplasmic adaptor subunit AcrA	268515..269708	species representative; ortholog by 94.9% identity to the panel allele; modal in 3/4 screened Citrobacter koseri genomes	1194	397	True
citrobacter	acrA	acrA|WP_048226274.1|NZ_CP101060.1|NMD21_RS18770	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_048226274.1	NMD21_RS18770	Citrobacter portucalensis	multidrug efflux RND transporter periplasmic adaptor subunit AcrA	3881346..3882539	species representative; ortholog by 99.5% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	1194	397	True
citrobacter	acrA	acrA|WP_042285835.1|NZ_BBNB01000002.1|CSE01S_RS06475	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000002.1	WP_042285835.1	CSE01S_RS06475	Citrobacter sedlakii	multidrug efflux RND transporter periplasmic adaptor subunit AcrA	445410..446603	species representative; ortholog by 93.2% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	1194	397	True
citrobacter	acrB	acrB|WP_003021736.1|NZ_LR890181.1|JMV71_RS17800	ncbi_refseq_auto	GCF_904859905.1	NZ_LR890181.1	WP_003021736.1	JMV71_RS17800	Citrobacter freundii MSB1_1H	efflux RND transporter permease AcrB	3651796..3654945	refseq_gene_name	3150	1049	True
citrobacter	acrB	acrB|WP_038638345.1|NZ_CP101080.1|NMD07_RS18450	ncbi_refseq_auto	GCF_041319875.1	NZ_CP101080.1	WP_038638345.1	NMD07_RS18450	Citrobacter cronae	efflux RND transporter permease AcrB	3822974..3826123	species representative; ortholog by 99.4% identity to the panel allele; modal in 1/1 screened Citrobacter cronae genomes	3150	1049	True
citrobacter	acrB	acrB|WP_012133513.1|NC_009792.1|CKO_RS11435	ncbi_refseq_auto	GCF_000018045.1	NC_009792.1	WP_012133513.1	CKO_RS11435	Citrobacter koseri	efflux RND transporter permease AcrB	2493815..2496961	species representative; ortholog by 96.5% identity to the panel allele; modal in 4/4 screened Citrobacter koseri genomes	3147	1048	True
citrobacter	acrB	acrB|WP_370613946.1|NZ_CP101060.1|NMD21_RS18775	ncbi_refseq_auto	GCF_041319845.1	NZ_CP101060.1	WP_370613946.1	NMD21_RS18775	Citrobacter portucalensis	efflux RND transporter permease AcrB	3882562..3885711	species representative; ortholog by 99.8% identity to the panel allele; modal in 1/3 screened Citrobacter portucalensis genomes	3150	1049	True
citrobacter	acrB	acrB|WP_042285838.1|NZ_BBNB01000002.1|CSE01S_RS06480	ncbi_refseq_auto	GCF_000759835.1	NZ_BBNB01000002.1	WP_042285838.1	CSE01S_RS06480	Citrobacter sedlakii	efflux RND transporter permease AcrB	446626..449775	species representative; ortholog by 96.5% identity to the panel allele; modal in 1/1 screened Citrobacter sedlakii genomes	3150	1049	True
